Coven #,curve_type,circulating_supply,bonding_curve_backing,ch_treasury,dao_treasury,buys,sales,target_supply,target_price,beyond_supply,beyond_price,linear_slope,quadratic_coefficient,exponential_coefficient,exponential_intercept
158,Linear,13,491.6049149338376,139.53076559546315,68538.54532669742,28,15,530,775,562,2325,1.4064272211720228,0.0026586525920076045,0.04443807339449541,-11660.59489678899
159,Fixed,3,153,126.22500000000007,68538.54532669742,18,15,750,1275,792,3825,1.6341789052069426,0.002181814292666145,0.03942486085343228,-20842.386363636364
160,Quadratic,8,121.31858661304221,43.67882792301063,68538.54532669742,23,15,119,375,130,1125,3.0508474576271185,0.02585463947141626,0.2760397497239602,-3468.577475156422
161,Quadratic,7,1254.4606158998376,389.9767998453025,68538.54532669742,18,11,344,4475,366,13425,12.524781341107872,0.036515397495941314,0.5746019517205958,-63126.345017976375
162,Quadratic,10,1701.8160681182644,459.76755584880743,68538.54532669742,23,13,619,4250,655,12750,6.601941747572815,0.010682753636849215,0.1856219426974144,-66643.47484276729
163,Fixed,8,552,175.95000000000007,68538.54532669742,21,13,456,1725,484,5175,3.6395604395604395,0.007999033933099867,0.1313585135546756,-25469.496268656716
164,Fixed,5,365,180.6749999999999,68538.54532669742,19,14,573,1825,607,5475,3.062937062937063,0.0053547850750647955,0.09113152901228404,-27991.77818835514
165,Fixed,13,572,122.09999999999992,68538.54532669742,25,12,279,1100,298,3300,3.7985611510791366,0.013663889032658765,0.20137299771167047,-14462.910755148741
166,Fixed,7,1659,693.2249999999996,68538.54532669742,23,16,397,5925,422,17775,14.363636363636363,0.03627180899908173,0.5801713586291309,-85055.1517747858
167,Linear,4,560.3830985915492,459.4411267605634,68538.54532669742,18,14,356,4050,379,12150,10.952112676056338,0.03085102162269391,0.4804555430333946,-56499.40981078355
168,Fixed,1,51,95.62500000000004,68538.54532669742,13,12,726,1275,767,3825,1.6882758620689655,0.002328656361474435,0.04171369681503656,-20650.76188840359
169,Quadratic,7,1385.7469760063452,520.2218024985128,68538.54532669742,21,14,739,4950,781,14850,6.439024390243903,0.008724965298433472,0.15527950310559005,-79622.04968944099
170,Quadratic,11,528.7245257128154,148.213788544209,68538.54532669742,26,15,530,1200,562,3600,2.1776937618147447,0.004116623368269839,0.06880733944954129,-18055.114678899085
171,Quadratic,13,2326.695969246425,609.6316171066763,68538.54532669742,29,16,267,4425,285,13275,15.969924812030076,0.060037311323421334,0.8939393939393939,-58826.57575757576
172,Quadratic,10,2261.4148832876135,611.424547797733,68538.54532669742,23,13,696,5650,736,16950,7.80431654676259,0.011229232441385021,0.19755244755244755,-89772.77097902098
173,Quadratic,8,1745.2315484452233,623.3479801300313,68538.54532669742,23,15,352,5450,375,16350,14.905982905982906,0.04246718776633306,0.6536731634182908,-75083.18740629686
174,Linear,13,1221.171875,381.60117187499986,68538.54532669742,30,17,513,1925,544,5775,3.609375,0.007049560546875,0.11771900321051827,-28934.330377618102
175,Fixed,14,3038,585.8999999999996,68538.54532669742,25,11,318,5425,339,16275,16.42902208201893,0.05182656808207863,0.7888040712468194,-73841.13231552164
176,Linear,3,371.5714285714289,477.96887755102046,68538.54532669742,20,17,589,3825,623,11475,6.244897959183674,0.01062057476051645,0.1859504132231405,-60466.239669421484
177,Quadratic,3,326.78816326530637,421.31103061224474,68538.54532669742,25,22,141,2925,153,8775,20.057142857142857,0.14326530612244898,1.6695205479452055,-29797.60273972603
178,Linear,3,456.4303797468355,781.3689873417717,68538.54532669742,17,14,238,6050,255,18150,24.50632911392405,0.10340223254820274,1.4496226189049959,-75373.85288127471
179,Quadratic,6,137.9060203140962,48.384753631373066,68538.54532669742,17,11,695,575,735,1725,0.7953890489913544,0.0011460937305350929,0.020133053221288517,-9121.803221288515
180,Fixed,7,315,138.375,68538.54532669742,24,17,551,1125,584,3375,1.9636363636363636,0.0035702479338842975,0.06017812725667977,-17078.88349514563
181,Quadratic,8,912.8188458729,257.0735390796202,68538.54532669742,19,11,445,2850,472,8550,6.162162162162162,0.013878743608473338,0.230722525804493,-42633.715846994535
182,Fixed,5,350,194.25,68538.54532669742,21,16,591,1750,626,5250,2.847457627118644,0.0048261993679977015,0.0823045267489712,-26900.205761316873
183,Linear,8,663.3731343283583,275.9462686567163,68538.54532669742,21,13,269,1775,287,5325,6.358208955223881,0.023724660280686122,0.35599679101484155,-23794.11351784998
184,Linear,6,469.0088495575221,331.0194690265487,68538.54532669742,19,13,114,1825,125,5475,15.504424778761061,0.13720729892708905,1.4000767165324128,-16052.57959340238
185,Fixed,6,672,386.39999999999975,68538.54532669742,26,20,67,2800,75,8400,40.72727272727273,0.6170798898071626,5.0,-18980.0
186,Quadratic,19,3876.020685714287,596.9480142857144,68538.54532669742,29,10,701,5075,741,15225,6.96,0.009942857142857142,0.1762152777777778,-81270.48611111112
187,Fixed,9,1791,641.7749999999999,68538.54532669742,26,17,361,4975,384,14925,13.266666666666667,0.03685185185185185,0.582245889168471,-70484.06723623384
188,Fixed,7,1722,645.7500000000001,68538.54532669742,21,14,125,6150,136,18450,47.61290322580645,0.3839750260145682,4.317304317304317,-60232.87118287118
189,Quadratic,5,788.933972872653,462.6558911920708,68538.54532669742,22,17,635,3950,672,11850,5.981072555205047,0.009433868383604176,0.16361188774981877,-61814.77995236615
190,Fixed,7,504,178.2000000000001,68538.54532669742,20,13,326,1800,347,5400,5.316923076923077,0.016359763313609468,0.25548222269533744,-25185.309772195018
191,Fixed,5,685,421.2749999999997,68538.54532669742,23,18,141,3425,153,10275,23.485714285714284,0.16775510204081634,1.9549086757990868,-34891.2100456621
192,Quadratic,15,3495.104036906167,576.3181691669928,68538.54532669742,24,9,584,5800,618,17400,9.550600343053173,0.01638181877024558,0.28431372549019607,-90835.10784313724
193,Quadratic,5,304.8515152744532,96.2464998580064,68538.54532669742,13,8,315,1525,336,4575,4.662420382165605,0.014848472554667532,0.22378751192310514,-20539.553525570474
194,Quadratic,6,1018.9759403348986,587.088834307433,68538.54532669742,26,20,502,4250,532,12750,8.1437125748503,0.016254915319062473,0.2745478036175711,-64661.773255813954
195,Linear,3,427.04524886877823,309.7184389140272,68538.54532669742,13,10,443,4075,470,12225,8.850678733031675,0.020024160029483425,0.3313412204740416,-60657.14619669066
196,Quadratic,11,554.6363636363636,179.2084710743801,68538.54532669742,29,18,221,1250,237,3750,5.454545454545454,0.024793388429752067,0.34265350877192985,-15334.429824561405
197,Linear,3,591.8181818181815,839.0454545454545,68538.54532669742,21,18,617,6125,653,18375,9.545454545454545,0.015495867768595042,0.26835786890991936,-95705.00350508236
198,Quadratic,5,209.7906976744186,109.01104651162794,68538.54532669742,19,14,130,1075,142,3225,8.0,0.06201550387596899,0.6635802469135802,-9967.638888888889
199,Fixed,7,539,271.4250000000001,68538.54532669742,27,20,443,1925,470,5775,4.180995475113122,0.009459265780798918,0.1565231532300687,-28653.989307639145
200,Linear,9,371.1115879828326,131.21105150214586,68538.54532669742,25,16,467,925,495,2775,1.905579399141631,0.004089226178415517,0.06882440476190477,-14020.63244047619
201,Quadratic,5,1024.8616780045356,451.23809523809496,68538.54532669742,17,12,253,5150,271,15450,19.61904761904762,0.07785336356764928,1.096211153682418,-64463.793103448275
202,Fixed,9,1638,368.5499999999999,68538.54532669742,18,9,221,4550,237,13650,19.854545454545455,0.09024793388429753,1.2472587719298245,-55817.324561403504
203,Linear,7,643.260162601626,262.9298780487804,68538.54532669742,21,14,739,2225,781,6675,2.894308943089431,0.0039218278361645405,0.06979735240604806,-35789.709203839644
204,Quadratic,15,2466.415938090737,431.7452224125708,68538.54532669742,25,10,737,4100,779,12300,5.3478260869565215,0.007266068052930057,0.12895514877020822,-65754.48826822672
205,Quadratic,6,1480.863756263634,705.0172575095152,68538.54532669742,22,16,332,6175,354,18525,17.909365558912388,0.05410684458885917,0.8207070707070707,-83742.48737373737
206,Linear,4,103.53652392947103,61.328463476070546,68538.54532669742,15,11,398,700,423,2100,1.6926952141057934,0.004263715904548598,0.06837606837606838,-10076.683760683762
207,Linear,6,63.83013698630137,40.345890410958894,68538.54532669742,24,18,366,275,389,825,0.7232876712328767,0.001981610058172265,0.03175702985160806,-3955.8303019804844
208,Quadratic,1,197.37225958598992,478.3251266486155,68538.54532669742,16,15,215,5125,231,15375,22.990654205607477,0.10743296357760503,1.4428490990990992,-60951.71734234235
209,Linear,9,1291.3693379790936,528.40531358885,68538.54532669742,25,16,288,3025,307,9075,10.118466898954704,0.03525598222632301,0.5369663619419544,-41204.382266796834
210,Linear,2,211.73252279635253,560.3772036474165,68538.54532669742,22,20,659,4050,697,12150,5.908814589665654,0.008979961382470598,0.15742828267122755,-64110.77897846536
211,Fixed,13,1378,405.44999999999965,68538.54532669742,32,19,663,2650,701,7950,3.8429003021148036,0.0058049853506265915,0.10240358605765515,-42227.757168251024
212,Linear,2,214.24657534246614,635.1780821917807,68538.54532669742,16,14,293,5750,313,17250,18.904109589041095,0.06474010133233252,0.9519867549668874,-75420.1986754967
213,Quadratic,5,244.6316078001409,136.20486138303707,68538.54532669742,21,16,679,1225,718,3675,1.7345132743362832,0.002558279165687733,0.045032625677786965,-19475.777502067824
214,Quadratic,2,231.83898982364514,351.6632638925888,68538.54532669742,21,19,412,2925,438,8775,6.8321167883211675,0.0166231552027279,0.2653301886792453,-41894.84080188679
215,Fixed,7,308,122.09999999999992,68538.54532669742,22,15,404,1100,429,3300,2.620347394540943,0.006502102715982489,0.10589651022864019,-16098.546329723224
216,Quadratic,15,1972.7077032136106,464.5322837901702,68538.54532669742,31,16,553,3275,586,9825,5.695652173913044,0.010318210459987398,0.1745689080781429,-49916.844567042455
217,Quadratic,7,612.9898666666668,279.2126399999999,68538.54532669742,21,14,76,2300,85,6900,29.44,0.39253333333333335,3.214535290006988,-15781.761006289307
218,Quadratic,4,575.1669564917959,302.7146226821164,68538.54532669742,16,12,483,3600,512,10800,7.170124481327801,0.014875776932215354,0.2500260443796229,-54487.050734451506
219,Fixed,9,1557,376.27500000000015,68538.54532669742,19,10,565,4325,598,12975,7.361702127659575,0.013052663346914139,0.22577193119828778,-67492.14822645055
220,Fixed,2,466,559.2000000000003,68538.54532669742,17,15,65,5825,73,17475,87.375,1.365234375,10.707720588235293,-38033.82352941176
221,Linear,2,191.41592920353992,97.07522123893806,68538.54532669742,7,5,679,2575,718,7725,3.646017699115044,0.005377607225833398,0.0946604172410624,-40938.87923904053
222,Fixed,8,1776,399.59999999999985,68538.54532669742,16,8,245,5550,262,16650,21.83606557377049,0.08949207202364956,1.2929528246942341,-71427.23937099593
223,Linear,5,807.4563106796116,307.8757281553397,68538.54532669742,14,9,516,4000,547,12000,7.456310679611651,0.014478273164294467,0.24322763065884284,-60510.048341491594
224,Quadratic,3,726.0246293863764,748.5895665227995,68538.54532669742,22,19,585,6075,619,18225,9.986301369863014,0.017099831112779133,0.2972986199471469,-95320.47812469413
225,Quadratic,1,125.88405325443796,409.80917973372783,68538.54532669742,22,21,521,3175,552,9525,5.861538461538461,0.011272189349112427,0.1912592994186922,-48541.51456281437
226,Fixed,13,2106,425.2499999999998,68538.54532669742,24,11,501,4050,531,12150,7.776,0.015552,0.2621359223300971,-61483.98058252427
227,Quadratic,2,351.68584518355436,290.4504891669288,68538.54532669742,12,10,687,4400,726,13200,6.1574344023323615,0.008975851898443675,0.15991568082283886,-70855.67973250468
228,Linear,12,4718.75,1244.53125,68538.54532669742,23,11,193,6250,208,18750,31.25,0.16276041666666666,2.0885547201336676,-70742.48120300753
229,Linear,20,5332.588235294118,808.3323529411764,68538.54532669742,29,9,409,4350,434,13050,10.235294117647058,0.025086505190311418,0.41379310344827586,-64531.6551724138
230,Linear,11,5537.628571428571,2004.6278571428566,68538.54532669742,25,14,71,5525,80,16575,75.77142857142857,1.0824489795918368,8.240119313944817,-34851.5846383296
231,Linear,14,4708.385542168674,978.0939759036144,68538.54532669742,25,11,333,5950,355,17850,17.204819277108435,0.051821744810567574,0.7884972170686456,-80961.3172541744
232,Quadratic,1,76.99608070837584,228.45060966758598,68538.54532669742,20,19,499,1950,529,5850,3.7590361445783134,0.007548265350558862,0.1267056530214425,-29473.508771929824
233,Quadratic,8,1221.0551776266066,468.6839002267575,68538.54532669742,24,16,127,3800,138,11400,28.952380952380953,0.22978080120937264,2.6270307639128934,-37906.740407881094
234,Fixed,0,0,378.0,68538.54532669742,18,18,91,3500,101,10500,37.333333333333336,0.4148148148148148,3.6842105263157894,-26342.105263157893
235,Quadratic,9,1233.67668517562,339.47305010330575,68538.54532669742,21,12,705,3425,745,10275,4.670454545454546,0.006634168388429752,0.11826657458563536,-55189.80662983425
236,Linear,7,1499.4883720930234,705.1667441860465,68538.54532669742,23,16,431,5150,458,15450,11.497674418604651,0.026738777717685236,0.43008058791598813,-74371.90070566621
237,Fixed,6,1344,537.6000000000001,68538.54532669742,19,13,94,5600,104,16800,57.806451612903224,0.6215747485258412,5.714285714285714,-43822.857142857145
238,Linear,6,282.00000000000006,140.82484472049683,68538.54532669742,21,15,645,1175,682,3525,1.7515527950310559,0.002719802476756298,0.0479347271800102,-18705.25701172871
239,Quadratic,3,290.67126340284864,254.70639608210286,68538.54532669742,19,16,720,2425,761,7275,3.2378303198887344,0.004503241056868893,0.07998153003842412,-38922.33175019377
240,Quadratic,10,1220.6448087431693,403.1204918032788,68538.54532669742,27,17,733,3050,775,9150,4.0,0.00546448087431694,0.0964396382723076,-48624.672737620946
241,Fixed,0,0,56.999999999999964,68538.54532669742,20,20,188,475,202,1425,2.4385026737967914,0.013040121250250222,0.17488954344624447,-5640.712444771722
242,Quadratic,8,456.00424023011317,145.64671010216225,68538.54532669742,21,13,569,1425,602,4275,2.408450704225352,0.004240230113072803,0.07387821759079244,-22409.88607201182
243,Quadratic,2,81.6474838041975,73.85287742937037,68538.54532669742,13,11,318,1025,339,3075,3.1041009463722395,0.009792116550070156,0.1490367139222101,-13951.550345328971
244,Fixed,3,669,518.4750000000003,68538.54532669742,17,14,483,5575,512,16725,11.103734439834025,0.023036793443639056,0.3871931103934438,-84379.25217904644
245,Linear,3,53.293193717277504,135.82107329842927,68538.54532669742,19,16,192,975,207,2925,4.900523560209424,0.025657191414709027,0.327455919395466,-10970.919395465995
246,Quadratic,12,1538.5266892799361,327.04142725960907,68538.54532669742,23,11,694,3200,734,9600,4.432900432900433,0.006396681721357046,0.11220196353436185,-50684.88078541374
247,Fixed,6,510,293.25,68538.54532669742,26,20,305,2125,325,6375,6.7105263157894735,0.02207409972299169,0.33837579617834396,-29146.337579617833
248,Fixed,3,351,324.67499999999995,68538.54532669742,20,17,191,2925,206,8775,14.778947368421052,0.07778393351800554,0.9873417721518988,-32718.037974683546
249,Linear,3,211.30434782608683,591.6521739130434,68538.54532669742,19,16,185,4050,199,12150,21.130434782608695,0.11483931947069943,1.5145848915482423,-47227.78608825729
250,Quadratic,10,954.2573864763041,303.81915526472346,68538.54532669742,26,16,247,2375,264,7125,9.268292682926829,0.03767598651596272,0.5489425632728534,-30844.808159019994
251,Quadratic,12,2187.873071649658,328.34771799903115,68538.54532669742,18,6,699,4550,739,13650,6.257879656160458,0.008965443633467705,0.15842618384401114,-72635.87047353761
252,Linear,6,1590.6315789473686,506.5815789473684,68538.54532669742,14,8,134,5475,146,16425,39.5187969924812,0.2971338119735429,3.2823741007194243,-52586.9154676259
